state_owner,snapshot_iteration,historical_source,update_rule,phase,edge_category,instance,source_overlap,signed_tau_change_over_two_budget,absolute_tau_change_over_two_budget,mean_signed_tau_change,mean_absolute_tau_change
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,两条来源路径共有边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,两条来源路径共有边,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,两条来源路径共有边,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,两条来源路径共有边,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,两条来源路径共有边,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,两条来源路径共有边,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,两条来源路径共有边,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,两条来源路径共有边,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅历史来源路径包含的边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅历史来源路径包含的边,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅历史来源路径包含的边,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅历史来源路径包含的边,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅历史来源路径包含的边,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅历史来源路径包含的边,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅历史来源路径包含的边,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅历史来源路径包含的边,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅本轮最优路径包含的边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅本轮最优路径包含的边,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅本轮最优路径包含的边,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅本轮最优路径包含的边,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅本轮最优路径包含的边,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅本轮最优路径包含的边,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅本轮最优路径包含的边,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,仅本轮最优路径包含的边,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,其他候选弧,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,其他候选弧,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,其他候选弧,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,其他候选弧,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,其他候选弧,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,其他候选弧,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,其他候选弧,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,更新前,其他候选弧,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,两条来源路径共有边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,两条来源路径共有边,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,两条来源路径共有边,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,两条来源路径共有边,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,两条来源路径共有边,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,两条来源路径共有边,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,两条来源路径共有边,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,两条来源路径共有边,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅历史来源路径包含的边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅历史来源路径包含的边,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅历史来源路径包含的边,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅历史来源路径包含的边,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅历史来源路径包含的边,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅历史来源路径包含的边,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅历史来源路径包含的边,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅历史来源路径包含的边,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅本轮最优路径包含的边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅本轮最优路径包含的边,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅本轮最优路径包含的边,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅本轮最优路径包含的边,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅本轮最优路径包含的边,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅本轮最优路径包含的边,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅本轮最优路径包含的边,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,仅本轮最优路径包含的边,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,其他候选弧,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,其他候选弧,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,其他候选弧,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,其他候选弧,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,其他候选弧,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,其他候选弧,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,其他候选弧,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,沉积后,其他候选弧,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,两条来源路径共有边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,两条来源路径共有边,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,两条来源路径共有边,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,两条来源路径共有边,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,两条来源路径共有边,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,两条来源路径共有边,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,两条来源路径共有边,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,两条来源路径共有边,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅历史来源路径包含的边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅历史来源路径包含的边,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅历史来源路径包含的边,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅历史来源路径包含的边,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅历史来源路径包含的边,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅历史来源路径包含的边,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅历史来源路径包含的边,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅历史来源路径包含的边,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅本轮最优路径包含的边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅本轮最优路径包含的边,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅本轮最优路径包含的边,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅本轮最优路径包含的边,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅本轮最优路径包含的边,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅本轮最优路径包含的边,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅本轮最优路径包含的边,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,仅本轮最优路径包含的边,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,其他候选弧,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,其他候选弧,1,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,其他候选弧,2,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,其他候选弧,3,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,其他候选弧,4,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,其他候选弧,5,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,其他候选弧,6,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,蒸发和下界保护后,其他候选弧,7,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,重启和可选上界处理后,两条来源路径共有边,0,1.0,0.0,0.0,0.0,0.0
GP 表达式自身产生的状态,1,历史全局最优路径,GP 源内重加权,重启和可选上界处理后,两条来源路径共有边,1,1.0,0.0,0.0,0.0,0.0
