配置,模型,指标,阶段,均值
完整 MMAS,不使用 GP,实际强化路径的平均 gap（%）,第 1–250 轮,2.509322200893484
完整 MMAS,不使用 GP,实际强化路径的平均 gap（%）,第 251–1000 轮,0.9121702563818104
完整 MMAS,不使用 GP,实际强化路径的平均 gap（%）,第 1001–2500 轮,1.0092828826766052
完整 MMAS,不使用 GP,实际强化路径的平均 gap（%）,第 2501–5000 轮,1.028308267189853
完整 MMAS,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.1286123421286601
完整 MMAS,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.03491079238953888
完整 MMAS,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.05149374813599034
完整 MMAS,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.054925690096489774
完整 MMAS,不使用 GP,强化路径年龄（轮）,第 1–250 轮,3.0937
完整 MMAS,不使用 GP,强化路径年龄（轮）,第 251–1000 轮,90.62088333333332
完整 MMAS,不使用 GP,强化路径年龄（轮）,第 1001–2500 轮,295.60970000000003
完整 MMAS,不使用 GP,强化路径年龄（轮）,第 2501–5000 轮,684.012605
完整 MMAS,不使用 GP,用于历史来源的预算比例,第 1–250 轮,0.36
完整 MMAS,不使用 GP,用于历史来源的预算比例,第 251–1000 轮,0.8341083333333333
完整 MMAS,不使用 GP,用于历史来源的预算比例,第 1001–2500 轮,0.7766416666666667
完整 MMAS,不使用 GP,用于历史来源的预算比例,第 2501–5000 轮,0.7615975
完整 MMAS,不使用 GP,构造路径平均 gap（%）,第 1–250 轮,19.834734532574554
完整 MMAS,不使用 GP,构造路径平均 gap（%）,第 251–1000 轮,8.693310945812312
完整 MMAS,不使用 GP,构造路径平均 gap（%）,第 1001–2500 轮,9.883684233080725
完整 MMAS,不使用 GP,构造路径平均 gap（%）,第 2501–5000 轮,10.206605905628658
完整 MMAS,不使用 GP,2-opt 后路径平均 gap（%）,第 1–250 轮,4.330923209305176
完整 MMAS,不使用 GP,2-opt 后路径平均 gap（%）,第 251–1000 轮,1.7151737099685374
完整 MMAS,不使用 GP,2-opt 后路径平均 gap（%）,第 1001–2500 轮,1.9456282740829358
完整 MMAS,不使用 GP,2-opt 后路径平均 gap（%）,第 2501–5000 轮,1.99768789003824
完整 MMAS,不使用 GP,构造路径最优 gap（%）,第 1–250 轮,12.862411738335236
完整 MMAS,不使用 GP,构造路径最优 gap（%）,第 251–1000 轮,3.70424529520608
完整 MMAS,不使用 GP,构造路径最优 gap（%）,第 1001–2500 轮,4.652773838220389
完整 MMAS,不使用 GP,构造路径最优 gap（%）,第 2501–5000 轮,4.9092343687807
完整 MMAS,不使用 GP,2-opt 后本轮最优 gap（%）,第 1–250 轮,2.6379345430221446
完整 MMAS,不使用 GP,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.9470810487713491
完整 MMAS,不使用 GP,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,1.0607766308125954
完整 MMAS,不使用 GP,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,1.0832339572863425
完整 MMAS,不使用 GP,构造路径较优七条平均 gap（%）,第 1–250 轮,14.975821159048074
完整 MMAS,不使用 GP,构造路径较优七条平均 gap（%）,第 251–1000 轮,4.3267624616260765
